Date,Open,High,Low,Close,Adj Close,Volume,Price Return,Total Return,Source,Quality Flag,Source Notes
1970-01-02,,,,35.08,35.08,,,,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-05,,,,35.18,35.1788433973,,0.0028506271,0.0028176567,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-06,,,,35.05,35.0484635743,,-0.0036952814,-0.0037061998,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-07,,,,35,34.9980822212,,-0.0014265335,-0.0014374768,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-08,,,,34.95,34.9477019682,,-0.0014285714,-0.0014395147,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-09,,,,34.9,34.8973228152,,-0.0014306152,-0.0014415584,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-12,,,,34.98,34.9761667392,,0.0022922636,0.0022593115,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-13,,,,34.89,34.8857942875,,-0.0025728988,-0.0025838295,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-14,,,,34.85,34.8454172374,,-0.0011464603,-0.0011574066,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-15,,,,34.8,34.7950424927,,-0.0014347202,-0.0014456634,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-16,,,,34.75,34.7446688479,,-0.0014367816,-0.0014477248,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-19,,,,34.75,34.7435265574,,0,-0.0000328767,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-20,,,,34.8,34.7931359443,,0.0014388489,0.0014278742,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-21,,,,34.85,34.8427442396,,0.0014367816,0.001425807,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-22,,,,35,34.9923295279,,0.0043041607,0.0042931546,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-23,,,,34.99,34.9819483514,,-0.0002857143,-0.0002966701,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1970-01-26,,,,34.98,34.9708008898,,-0.0002857959,-0.0003186633,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
